FECHA (YYMMDD);HORA (HHMM);Temperatura (°C);
241228;1100;17,77;
241228;1200;18,495;
241228;1300;19,0025;
241228;1400;18,4375;
241228;1500;18,565;
241228;1600;18,875;
241228;1700;17,1925;
241228;1800;17,2575;
241228;1900;16,645;
241228;2000;15,1825;
241228;2100;14,325;
241228;2200;13,7675;
241228;2300;13,4975;
241229;0000;13,435;
241229;0100;13,6475;
241229;0200;13,6625;
241229;0300;13,67;
241229;0400;13,505;
241229;0500;13,2825;
241229;0600;13,355;
241229;0700;13,68;
241229;0800;14,5825;
241229;0900;16,875;
241229;1000;19,345;
241229;1100;20,9925;
241229;1200;22,335;
241229;1300;22,74;
241229;1400;22,97;
241229;1500;22,755;
241229;1600;22,395;
241229;1700;22,73;
241229;1800;22,43;
241229;1900;20,8325;
241229;2000;19,53;
241229;2100;18,645;
241229;2200;17,145;
241229;2300;16,0775;
241230;0000;14,9975;
241230;0100;14,2325;
241230;0200;13,3575;
241230;0300;12,4975;
241230;0400;12,0575;
241230;0500;12,045;
241230;0600;13,5275;
241230;0700;15,3525;
241230;0800;16,69;
241230;0900;19,745;
241230;1000;21,1275;
241230;1100;23,3975;
241230;1200;25,78;
241230;1300;23,6675;
241230;1400;23,7675;
241230;1500;23,2975;
241230;1600;21,9125;
241230;1700;21,24;
241230;1800;20,6575;
241230;1900;19,75;
241230;2000;18,28;
241230;2100;17,7675;
241230;2200;17,3675;
241230;2300;17,0375;
241231;0000;16,5275;
241231;0100;15,3175;
241231;0200;14,6825;
241231;0300;14,665;
241231;0400;14,455;
241231;0500;14,2075;
241231;0600;14,9275;
241231;0700;16,23;
241231;0800;17,31;
241231;0900;19,225;
241231;1000;20,89;
241231;1100;22,6825;
241231;1200;23,8025;
241231;1300;24,1675;
241231;1400;24,325;
241231;1500;24,48;
241231;1600;24,12;
241231;1700;22,715;
241231;1800;22,0075;
241231;1900;19,8125;
241231;2000;17,37;
241231;2100;16,2525;
241231;2200;15,3375;
241231;2300;15,2475;
250101;0000;16;
250101;0100;15,9275;
250101;0200;14,87;
250101;0300;14,0475;
250101;0400;12,7875;
250101;0500;11,8175;
250101;0600;12,8975;
250101;0700;15,0125;
250101;0800;17,1425;
250101;0900;19,215;
250101;1000;22,4925;
250101;1100;25,2525;
250101;1200;26,925;
250101;1300;27,5;
250101;1400;27,005;
250101;1500;27,07;
250101;1600;26,4825;
250101;1700;25,8475;
250101;1800;24,8125;
250101;1900;21,8575;
250101;2000;19,27;
250101;2100;18,1725;
250101;2200;17,4475;
250101;2300;18,9875;
250102;0000;18,9425;
250102;0100;17,7375;
250102;0200;17,2775;
250102;0300;15,4825;
250102;0400;15,085;
250102;0500;13,6775;
250102;0600;14,34;
250102;0700;16,5875;
250102;0800;18,9525;
250102;0900;22,8125;
250102;1000;24,24;
250102;1100;26,7925;
250102;1200;26,23;
250102;1300;28,7725;
250102;1400;29,9175;
250102;1500;29,1375;
250102;1600;27,67;
250102;1700;26,8575;
250102;1800;25,86;
250102;1900;23,4875;
250102;2000;20,86;
250102;2100;19,495;
250102;2200;18,41;
250102;2300;17,5325;
250103;0000;16,635;
250103;0100;15,8775;
250103;0200;15,7525;
250103;0300;15,655;
250103;0400;15,3725;
250103;0500;15,1275;
250103;0600;16,47;
250103;0700;19,2375;
250103;0800;20,8525;
250103;0900;23,725;
250103;1000;24,05;
250103;1100;24,535;
250103;1200;24,1225;
250103;1300;24,36;
250103;1400;23,8025;
250103;1500;23,83;
250103;1600;23,4325;
250103;1700;22,0525;
250103;1800;20,1225;
250103;1900;17,5275;
250103;2000;14,9425;
250103;2100;14,13;
250103;2200;13,975;
250103;2300;13,8475;
250104;0000;13,83;
250104;0100;13,615;
250104;0200;13,5525;
250104;0300;13,5075;
250104;0400;13,52;
250104;0500;13,48;
250104;0600;13,6325;
250104;0700;13,97;
250104;0800;14,395;
250104;0900;15,5375;
250104;1000;17,815;
250104;1100;19,15;
250104;1200;19,7475;
250104;1300;20,1825;
250104;1400;19,2025;
250104;1500;18,705;
250104;1600;18,33;
250104;1700;17,2375;
250104;1800;16,2825;
250104;1900;15,2775;
250104;2000;14,79;
250104;2100;14,6175;
250104;2200;14,6;
250104;2300;14,47;
250105;0000;14,4875;
250105;0100;14,6525;
250105;0200;14,6875;
250105;0300;14,44;
250105;0400;13,955;
250105;0500;13,9725;
250105;0600;14,675;
250105;0700;16,7475;
250105;0800;18,925;
250105;0900;21,525;
250105;1000;23,9825;
250105;1100;24,5175;
250105;1200;25,1025;
250105;1300;25,8925;
250105;1400;24,4075;
250105;1500;24,6775;
250105;1600;24,5725;
250105;1700;24,6275;
250105;1800;23,33;
250105;1900;22,2025;
250105;2000;20,05;
250105;2100;18,26;
250105;2200;17,16;
250105;2300;16,81;
250106;0000;16,4875;
250106;0100;16,305;
250106;0200;16,005;
250106;0300;15,51;
250106;0400;15,1133;
250106;0500;15,2025;
250106;0600;15,5;
250106;0700;16,33;
250106;0800;16,44;
250106;0900;16,975;
250106;1000;17,2275;
250106;1100;17,545;
250106;1200;17,975;
250106;1300;19,17;
250106;1400;20,1;
250106;1500;20,7825;
250106;1600;20,4125;
250106;1700;20,1475;
250106;1800;19,1725;
250106;1900;17,145;
250106;2000;15,3575;
250106;2100;14,5725;
250106;2200;14,295;
250106;2300;14,155;
250107;0000;13,9167;
250107;0100;13,3733;
250107;0200;12,775;
250107;0300;12,4325;
250107;0400;12,795;
250107;0500;12,82;
250107;0600;13,5025;
250107;0700;15,2225;
250107;0800;16,135;
250107;0900;18,2975;
250107;1000;19,855;
250107;1100;21,275;
250107;1200;21,8775;
