FECHA (YYMMDD);HORA (HHMM);Direccion Viento (grados);
241231;1400;206,124;
241231;1500;209,927;
241231;1600;208,731;
241231;1700;205,571;
241231;1800;204,702;
241231;1900;247,494;
241231;2000;135,436;
241231;2100;117,64;
241231;2200;109,553;
241231;2300;154,136;
250101;0000;156,153;
250101;0100;146,509;
250101;0200;162,898;
250101;0300;162,463;
250101;0400;164,932;
250101;0500;111,074;
250101;0600;97,3824;
250101;0700;157,361;
250101;0800;186,064;
250101;0900;192,565;
250101;1000;196,951;
250101;1100;183,01;
250101;1200;194,012;
250101;1300;195,429;
250101;1400;189,074;
250101;1500;192,868;
250101;1600;201,629;
250101;1700;210,928;
250101;1800;232,093;
250101;1900;123,388;
250101;2000;125,915;
250101;2100;115,242;
250101;2200;132,535;
250101;2300;154,85;
250102;0000;152,856;
250102;0100;161,997;
250102;0200;153,935;
250102;0300;145,458;
250102;0400;150,303;
250102;0500;101,712;
250102;0600;131,633;
250102;0700;165,241;
250102;0800;146,82;
250102;0900;129,563;
250102;1000;195,225;
250102;1100;225,153;
250102;1200;294,566;
250102;1300;253,718;
250102;1400;188,503;
250102;1500;184,74;
250102;1600;198,204;
250102;1700;195,735;
250102;1800;165,97;
250102;1900;124,071;
250102;2000;123,242;
250102;2100;17,2455;
250102;2200;123,021;
250102;2300;117,89;
250103;0000;142,173;
250103;0100;134,301;
250103;0200;135,094;
250103;0300;117,794;
250103;0400;125,119;
250103;0500;116,988;
250103;0600;136,128;
250103;0700;148,505;
250103;0800;262,893;
250103;0900;224,415;
250103;1000;306,598;
250103;1100;321,821;
250103;1200;339,074;
250103;1300;333,272;
250103;1400;329,545;
250103;1500;328,745;
250103;1600;332,593;
250103;1700;332,971;
250103;1800;332,786;
250103;1900;327,407;
250103;2000;326,73;
250103;2100;326,183;
250103;2200;325,071;
250103;2300;328,032;
250104;0000;328,647;
250104;0100;329,054;
250104;0200;327,46;
250104;0300;290,71;
250104;0400;282,738;
250104;0500;272,259;
250104;0600;292,541;
250104;0700;290,717;
250104;0800;290,611;
250104;0900;322,385;
250104;1000;341,613;
250104;1100;332,028;
250104;1200;336,553;
250104;1300;333,218;
250104;1400;321,113;
250104;1500;339,811;
250104;1600;341,975;
250104;1700;346,513;
250104;1800;337,576;
250104;1900;330,144;
250104;2000;333,375;
250104;2100;326,616;
250104;2200;316,722;
